Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
257,Idaho,WAC,33,15–18,104.4,112.1,0.3075,50.3,51.5,16.9,15.1,30.7,30.8,44.8,41.2,48.7,52,35.6,33.7,32.7,32.1,67.4,-12.5
258,East Tennessee St.,ASun,32,17–15,101.9,109.5,0.3058,49.4,50.9,16.6,19.7,27.6,32.4,43.6,41.8,46.5,52.2,36.2,32.6,37.3,39.7,70.3,-10.6
259,Troy,SB,29,9–20,100.6,108.2,0.3035,47.5,50.5,18.8,17.9,32.8,32.3,43.9,30.6,45.4,51.4,33.9,32.5,39.2,33.4,65.1,-14.1
260,Fairfield,MAAC,32,7–25,95.6,102.9,0.3023,46,47.1,21.8,16.6,30.5,29.1,34.6,58.6,43.6,45.3,33.3,34.6,37.6,27,66.4,-17.4
261,Tennessee Tech,OVC,31,15–16,100.1,107.8,0.2998,50,51.5,22.4,19.5,35.5,31.6,46.1,54.3,50.5,50.5,32.6,35.6,31.8,31.3,68.1,-10.6
262,Louisiana Monroe,SB,26,9–17,96.4,103.8,0.2996,47,49.2,19.7,16.5,30.3,31.3,35.5,38.2,47,48.8,31.4,33.3,30.9,36.1,63.4,-10.1
263,Idaho St.,BSky,27,9–18,103.2,111.1,0.2996,49.4,53.9,18.9,19.2,35.4,31.8,45.4,35.3,47.8,50.7,35.6,38.7,29.4,42.7,64.6,-13.3
264,Texas St.,SB,29,6–23,95.5,103,0.2953,47.5,51.9,21.5,19.2,29.7,28.9,33.6,43.4,48,47.9,30.7,40,29.9,32.8,63.2,-16.4
265,Northern Arizona,BSky,31,14–17,99.5,107.7,0.2881,49.9,53,19.6,18.4,33.1,28,34.3,40.1,48.9,49.3,35,40.1,28.1,34.7,64.1,-11.9
266,North Florida,ASun,30,14–16,102.4,110.7,0.2877,49.4,51.3,21.9,15.5,34,31.1,40.5,40.2,47.4,50.1,35.4,36.3,35.3,27.4,68.8,-8.8
267,Cal St. Fullerton,BW,31,11–20,99.5,107.8,0.2843,48.1,50.7,17.8,17,29.1,29.1,38.1,45.9,47.3,50.6,33.1,34,33.4,29,67.3,-13.7
268,James Madison,CAA,31,11–20,98.1,106.4,0.283,45.7,49.1,18.8,18.4,29.7,31.8,47.4,44.4,48.2,46.8,27.3,35.1,35,39,65.5,-13.4
269,South Dakota,Sum,27,9–18,100.6,109,0.2827,48.7,51.6,18.9,15.9,25.7,30.5,39.8,37.8,46.7,47.8,35.2,39.2,33.1,34.5,67.4,-11.7
270,North Dakota,BSky,31,15–16,103.4,112.1,0.2822,50.1,55.3,16.5,20.9,31.1,31.9,42.6,48.6,51.2,54.7,31.8,38,31.7,25.8,69.8,-10.6
271,Lipscomb,ASun,29,14–15,102.4,111.2,0.2797,51.3,54.2,17.5,20.1,25.8,31.5,47.9,48.7,49.7,55.2,35.5,35.1,46.3,40.2,70.4,-9.6
272,Monmouth,MAAC,32,11–21,96.4,104.7,0.2788,46.8,51.2,20.5,21.3,33.7,30.9,40.6,48.6,45.4,50,33.6,35.3,28.5,41.3,68.3,-14.6
273,UNC Wilmington,CAA,30,7–23,96.3,104.8,0.2747,44,50.4,17.6,17.3,31.4,34.2,32.3,41.9,44.6,49.7,28.3,34.4,27.5,34.8,64.4,-15.7
274,Niagara,MAAC,33,7–26,101.4,110.6,0.2694,47.2,54.7,18.5,20.2,32.1,34.5,48.6,50.6,48,53.3,30,38.4,28.4,31.7,72.4,-19.2
275,Liberty,BSth,29,8–21,102.1,111.9,0.2597,49.9,51,20.5,15.1,38,29.9,34.5,38.1,48.4,50,35.7,35,28.3,38.9,64.6,-16.6
276,Western Illinois,Sum,27,7–20,93.4,102.3,0.2596,49.1,48.6,21.6,18.7,24.9,28.6,38.9,47.1,48.3,46.9,34,34.8,29.9,32.6,62.6,-14.2
277,Portland St.,BSky,29,15–14,101.4,111.2,0.2592,52,53,17.2,19.7,26.7,33,39.6,41.4,50.9,52.8,36.2,35.7,32.3,28.7,66.3,-10.3
278,Austin Peay,OVC,28,10–18,100.1,109.7,0.2588,52.6,53.3,21.4,19.9,29.6,35.1,49.3,34.9,53.5,52.7,33.5,36.2,27.6,35.2,70.9,-13.7
279,Chattanooga,SC,29,15–14,100.5,110.2,0.2573,47.8,51.6,18.9,18,34.2,33.1,45.2,35.9,47.2,51.7,32.6,34.1,34.1,26,68.9,-9.7
280,Incarnate Word,Slnd,15,9–6,101.3,111.2,0.255,52.3,51,18.4,19.5,31.2,30,41.3,41.5,50.6,46.2,37.1,41.9,32.4,28.9,69.6,-4.4
281,UMKC,WAC,29,10–19,97.2,106.9,0.2508,48.2,52.5,18.3,19.3,25.7,31.2,40.9,43.3,49.4,52.7,30.5,34.7,32.7,35.7,70.2,-12.8
282,Central Michigan,MAC,29,8–21,106.2,117.1,0.245,49.3,57,16.5,19.5,29,32.1,37.1,39.7,50.8,58.3,31.6,36.5,45,36.4,65.7,-15.7
283,Savannah St.,MEAC,30,11–19,91.3,101.1,0.2362,46.3,45.4,23.9,21.4,31.8,35,38.9,49,46.3,45.4,30.8,30.3,30.3,28.6,65,-12.4
284,Rice,CUSA,28,5–23,96,106.4,0.235,48.2,49.5,19.6,16.8,21.3,30.5,31.9,46.4,47.9,48.3,32.4,34.7,45.9,33.5,64.1,-16.1
285,Tulane,CUSA,32,16–16,99.9,111.1,0.2278,47.4,50.8,19.9,16.6,30.2,32.5,50.3,41.3,44.5,49.3,35.3,35.5,34.4,35.9,63.5,-9.6
286,Chicago St.,WAC,30,11–19,98.2,109.4,0.2234,46.8,52.5,17.1,22.1,27,37,33.8,53.6,45.1,52.1,33.3,35.5,35.4,36.7,69.5,-12.5
287,Fairleigh Dickinson,NEC,29,9–20,101.6,113.5,0.2179,47.7,51.2,17.6,18.4,30.3,38.1,35.7,47.8,45,49,35,37,35.6,34.2,66.6,-13.9
288,Loyola MD,Pat,28,9–19,96.4,108,0.214,44.9,52.8,18.3,20.9,30.5,35.4,41.1,40.3,44.1,48.3,31.5,41.5,27.6,32.1,66.4,-12.8
289,Ball St.,MAC,28,3–25,96.6,108.4,0.2112,46.6,51.5,25,16.3,34,30.4,42.6,45.4,46.3,52.3,31.5,33.1,38.9,28.8,67.4,-17.8
290,Georgia Southern,SC,31,12–19,98.4,110.4,0.2105,48.8,51.8,17.9,18.1,30.3,30.3,36.9,32.8,48.4,51.5,33,34.9,36.9,36.4,66.7,-14.4
291,UC Riverside,BW,29,8–21,96.4,108.2,0.2095,46.5,49.3,19.4,17.4,29.3,30.7,41.8,43,47.2,45.9,29.7,38.2,26.9,30.1,67.8,-15.6
292,San Jose St.,MWC,29,5–24,94.4,106.2,0.2063,44.7,50,20.3,14.9,28.1,30.5,33,45.9,40.7,48.5,32.8,35.2,47.5,34,66.3,-15.2
293,Eastern Illinois,OVC,27,9–18,98.5,111.1,0.2017,48.7,53.6,20.1,17.8,30.6,30.7,41.8,45.7,48.7,50.3,32.5,40.3,29.5,33.1,65.6,-13.6
294,UT Rio Grande Valley,WAC,31,8–23,93.9,105.9,0.2005,45.3,50.8,17.8,21.1,29.2,34.6,35.8,46.4,46.7,51.3,27.9,33.2,30.1,36.8,66.1,-18
295,Coppin St.,MEAC,31,11–20,100,112.9,0.1982,45.3,53.1,17.2,19.3,30.2,36.8,40.2,35.8,43.1,53.1,32.4,35.4,39.9,36.8,68.1,-13.7
296,SIU Edwardsville,OVC,29,9–20,99.5,112.5,0.1959,52.3,55.5,20.1,19.5,29.2,33.2,37.9,40.8,50.6,57.7,37.1,33.9,34.4,31.6,67.5,-15.4
