Rk,Team,,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
127,Detroit Mercy,Horz,33,20–13,106.4,102.6,0.6019,48.5,50.9,19.1,22.4,35.3,33,44,38.7,50.1,48.5,29.6,37,27.5,34.6,67.9,-5.1
128,Bowling Green,MAC,30,15–15,101.8,98.3,0.5979,49.6,50.4,20.9,23.3,34.7,32.2,26.9,36.6,48.7,49.6,34.8,34.8,25.7,30.5,65,-7.2
129,Indiana St.,MVC,31,17–14,100.3,97,0.5967,47.6,48.3,18.9,18.8,26.5,27.2,37.5,33,45.4,45.7,34.6,36.3,34.2,30.8,65.1,-4.2
130,East Tennessee St.,ASun,30,16–14,100.5,97.1,0.5959,47.8,52.1,20.4,25.7,36.4,35.2,39.3,35.1,48.2,50.8,30.8,35.8,23.2,44.6,65.5,-6.8
131,Loyola MD,MAAC,32,24–8,102.3,99,0.5937,47.4,47.7,20.7,21.8,39,33,43,39.8,46,45.3,34,36.1,27.3,27.1,64.5,-1.4
132,Penn,Ivy,31,19–12,102.1,98.8,0.5927,51.4,48.7,19.9,22.2,27.1,31.9,30.1,42.9,48.7,47.3,37.5,34.3,36.5,34.9,63.2,-4
133,Auburn,SEC,31,15–16,97.6,94.7,0.5871,46.4,47,20.6,21.6,31.4,32.9,36.4,38,46.9,44.2,30.2,34.8,31,35.4,65.4,-5.1
134,Penn St.,B10,32,12–20,100,97.1,0.5844,44.9,51.7,19.2,21.5,34.4,27.9,31.8,45.3,44,47.4,31.1,38.2,36.6,43.8,64.5,-6.1
135,DePaul,BE,31,12–19,107,104.2,0.5769,49.5,52.5,18.5,21.7,31.4,38.8,26.4,40.9,49.2,52.3,33.5,35.4,34.2,24.3,72.7,-8
136,Drake,MVC,31,16–15,99.6,97,0.5748,49.9,47.6,19.4,19.6,25.2,28.3,41.1,43.8,48.2,48.3,35.5,30.7,33,30.4,66.6,-5.1
137,UNC Asheville,BSth,30,21–9,107.2,104.4,0.5747,52.7,51.4,19.1,22.4,32.9,35,48.5,36.1,52.9,50.4,34.8,35.4,33.5,34.5,69.6,-3.2
138,St. John's,BE,32,13–19,103.1,100.4,0.5744,45.6,50.2,19.6,21.5,34.4,39.3,39.5,28.7,46.7,49.9,28.2,33.9,25.6,36.7,67.3,-6.1
139,Utah St.,WAC,31,16–15,105.6,102.9,0.5735,52.6,47.2,19.1,16.8,30.2,33.3,38.6,32.7,51.2,46.1,37.4,33,29.1,32.9,61.9,-8.3
140,UAB,CUSA,31,15–16,98.5,96,0.5731,47.7,46.6,22.8,18.8,34.8,31.3,36.3,29.6,45.7,44.1,34.4,34.8,33.4,30.3,62.3,-5.7
141,Robert Morris,NEC,34,24–10,103.1,100.5,0.5724,47.5,49.7,21.2,24.2,40.3,31.4,43.4,48.4,45.1,47.2,34.9,35.7,33.5,38.1,63.8,-2.7
142,Charlotte,A10,30,13–17,98.8,96.4,0.5716,46.9,48.9,20.2,20.9,30,30.5,39,34.2,45.8,48.1,32.5,33.5,35.1,37.2,68.5,-7
143,Manhattan,MAAC,32,20–12,99.9,97.4,0.5715,49.9,46.1,23.1,23.2,36.2,32.4,40.8,43.5,46.9,44.6,36.6,32.7,37.1,35.1,68.2,-5.9
144,Vermont,AE,34,23–11,102.5,100,0.5713,49.4,45.8,19.4,20,34.2,29.9,37.9,33.1,48.4,44.9,34.6,31.9,29.5,31.6,63.5,-5.4
145,Charleston,SC,31,19–12,101.5,99.1,0.5683,49.5,47.2,19.1,20.8,29.9,35.5,38.6,25.7,48.8,46.8,33.8,32,41,32.7,67.7,-5.8
146,UTEP,CUSA,32,15–17,100.6,98.3,0.5653,50.3,47.7,21.1,19.1,28,31.3,39,34.9,50,46.6,34,33.3,26.6,33.2,62.5,-7.5
147,Nebraska,B10,30,12–18,100.6,98.4,0.5646,49,52.5,21.2,19.9,27.5,28.8,28.7,33.2,49.3,51,32.4,36.6,39.4,38.9,62.6,-5
148,American,Pat,31,20–11,101.5,99.3,0.5632,49.7,45.8,17.6,17.5,26.5,30.4,34.7,33.4,44.3,45.8,40.1,30.6,34.2,33.7,62.6,-5.1
149,East Carolina,CUSA,27,11–16,102,99.8,0.5626,49.3,50,20.3,21.6,29.9,32.2,35.3,38.1,47.3,50.2,34.8,32.9,40.6,30.6,66.1,-8.5
150,Boise St.,MWC,29,12–17,104.3,102.3,0.5559,49,53,18.6,19.6,32,25.4,36,39.2,47.4,50.3,34.2,38.3,40.6,37.5,65.8,-7.7
151,Rice,CUSA,29,14–15,99.9,98,0.5552,48.8,48.3,19.1,19.8,26.6,28.9,39.4,36,47.6,44.6,34.4,37.4,29.7,32.1,68.6,-7.2
152,Loyola Marymount,WCC,29,17–12,100.4,98.8,0.5472,48.1,47.8,19.8,20.7,31.1,33.7,37,32.2,45.8,48.8,35.2,30.6,32.3,35.7,66.5,-4.1
153,Quinnipiac,NEC,31,18–13,102.1,100.6,0.5433,46.2,46.3,18.6,18.6,42.7,28.1,38.9,42.2,45,43.9,33.5,34.2,21.5,32.5,66.7,-7.5
154,South Carolina,SEC,31,10–21,102.4,101,0.5414,46.2,51,20.4,22.7,36.1,37.6,26.7,40.4,44.6,48,32.6,37.9,36.5,33.4,62.5,-8.9
155,North Dakota St.,Sum,29,16–13,104.7,103.3,0.5401,54.3,48.8,18.9,18.1,28,29.3,39.2,40.2,54,45.9,36.7,37.2,32.4,29,66.5,-7.6
156,Delaware,CAA,31,18–13,102.4,101.1,0.5376,47.4,43.8,18.6,15.4,29,33.3,42.6,32,47.6,42.1,31.3,32,31.2,28.3,67.9,-6.1
157,TCU,MWC,30,16–14,104.9,103.6,0.5364,49.1,53.7,19.4,21.6,30.3,30.4,38.8,42.3,46.5,52.3,35.9,38.1,35.8,29,68.5,-5
158,USC Upstate,ASun,30,18–12,101.6,100.3,0.5352,49,51.2,21.6,23,39.8,32.3,34.9,42.3,47.6,50.6,34.8,35,30.2,31.7,67.5,-4.8
159,Oakland,Sum,31,16–15,111.4,110.1,0.5345,53.4,55.6,17.5,18.8,31.1,30.8,41.9,32.8,51.1,53.4,37.6,39.9,42.7,34,71,-7.3
160,Stony Brook,AE,30,21–9,101.4,100.3,0.5333,47.8,49.5,19.3,21.5,38.9,26.2,31.8,27.8,47.1,46.9,32.9,35.6,33.5,39.4,62.3,-4.4
161,LIU,NEC,33,25–8,107,105.8,0.5316,53.3,49.1,21.5,18.4,34.8,34,49.8,22.3,52.3,49,36.8,32.8,31.2,28,74.3,-2.4
162,San Francisco,WCC,31,18–13,106.2,105.3,0.5245,53.3,53.8,18.8,22,28.6,27.6,37.6,31.6,53.2,51.5,35.6,38.7,34.9,35.4,69,-5.7
163,Cal Poly,BW,31,16–15,102.9,102,0.5239,48.9,49.3,18,18.8,36.2,26.3,29,44.8,46.9,49.2,35,33,36,32.2,60,-9.3
164,Georgia Tech,ACC,31,11–20,97.4,96.7,0.5228,47.5,46.4,22.8,17.7,33.5,29.1,28.7,33.8,47.9,43.3,31.2,34.7,30.9,34.6,63.7,-9.3
165,Idaho,WAC,29,16–13,104.9,104.1,0.5226,53.7,48.5,20.6,16.8,31.8,31.7,41.5,31.9,51.2,46.9,39.1,34.3,32.9,34.5,62.9,-6.7
166,Stephen F. Austin,Slnd,28,16–12,95.3,95.2,0.5012,47.8,46.8,22.1,22.8,35.1,25.2,39,37.4,49.7,44.5,27.9,34.3,23.9,33.3,59.7,-7.5
